unix_ms,frame,node_idx,x,y
1782749437730,0,0,-5.199127,-10.845367
1782749437730,0,1,-10.973587,2.711899
1782749437730,0,2,13.574783,-5.903595
1782749437730,0,3,0.000000,0.000000
1782749438250,1,0,-6.133759,-9.820908
1782749438250,1,1,-10.917038,4.014587
1782749438250,1,2,15.606583,-4.467865
1782749438250,1,3,0.000000,0.000000
1782749438270,2,0,-5.869370,-10.761566
1782749438270,2,1,-10.052322,4.673615
1782749438270,2,2,15.045990,-4.070984
1782749438270,2,3,0.000000,0.000000
1782749438796,3,0,-6.363525,-10.176392
1782749438796,3,1,-9.462982,5.096481
1782749438796,3,2,14.571060,-2.991257
1782749438796,3,3,0.000000,0.000000
1782749439392,4,0,-6.537796,-10.070984
1782749439392,4,1,-9.786575,4.309616
1782749439392,4,2,14.401245,-3.481201
1782749439392,4,3,0.000000,0.000000
1782749439910,5,0,-6.111237,-10.472778
1782749439910,5,1,-10.630356,4.356812
1782749439910,5,2,15.045990,-4.263535
1782749439910,5,3,0.000000,0.000000
1782749439933,6,0,-5.701752,-10.633804
1782749439933,6,1,-10.483780,3.272552
1782749439933,6,2,15.727371,-5.254791
1782749439933,6,3,0.000000,0.000000
1782749440448,7,0,-6.320892,-10.910294
1782749440448,7,1,-10.319107,3.231918
1782749440448,7,2,14.931915,-4.915878
1782749440448,7,3,0.000000,0.000000
1782749441067,8,0,-7.327911,-9.697296
1782749441067,8,1,-10.268936,4.655319
1782749441067,8,2,15.907547,-3.116501
1782749441067,8,3,0.000000,0.000000
1782749441087,9,0,-5.258087,-10.321732
1782749441087,9,1,-9.706421,4.498459
1782749441087,9,2,15.905472,-4.216736
1782749441087,9,3,0.000000,0.000000
1782749441611,10,0,-6.153122,-10.416351
1782749441611,10,1,-10.841110,4.342575
1782749441611,10,2,15.999390,-4.420364
1782749441611,10,3,0.000000,0.000000
1782749442126,11,0,-6.541458,-10.794724
1782749442126,11,1,-11.329407,3.973267
1782749442126,11,2,15.650116,-4.784363
1782749442126,11,3,0.000000,0.000000
1782749442714,12,0,-6.180008,-10.965225
1782749442714,12,1,-10.945541,3.279663
1782749442714,12,2,16.150970,-5.383438
1782749442714,12,3,0.000000,0.000000
1782749443237,13,0,-6.912231,-10.438721
1782749443237,13,1,-11.260513,2.125946
1782749443237,13,2,14.692627,-5.539444
1782749443237,13,3,0.000000,0.000000
1782749443252,14,0,-6.628571,-11.545563
1782749443252,14,1,-11.728271,1.364120
1782749443252,14,2,14.884567,-6.799988
1782749443252,14,3,0.000000,0.000000
1782749443768,15,0,-8.122650,-10.582947
1782749443768,15,1,-9.920502,3.760132
1782749443768,15,2,16.046432,-3.649460
1782749443768,15,3,0.000000,0.000000
1782749444381,16,0,-8.636810,-9.948425
1782749444381,16,1,-8.024109,3.896606
1782749444381,16,2,15.424377,-2.263580
1782749444381,16,3,0.000000,0.000000
1782749444950,17,0,-8.622910,-9.933731
1782749444950,17,1,-7.973312,4.034058
1782749444950,17,2,15.439224,-2.178299
1782749444950,17,3,0.000000,0.000000
1782749444970,18,0,-3.586899,-12.499176
1782749444970,18,1,-9.652176,1.120850
1782749444970,18,2,14.259750,-8.130600
1782749444970,18,3,0.000000,0.000000
1782749445560,19,0,-0.972824,-12.175552
1782749445560,19,1,-9.640701,1.336105
1782749445560,19,2,14.232285,-9.301102
1782749445560,19,3,0.000000,0.000000
1782749446174,20,0,-1.375549,-12.709335
1782749446174,20,1,-9.329346,1.601974
1782749446174,20,2,14.568283,-8.909882
1782749446174,20,3,0.000000,0.000000
1782749446200,21,0,-2.719833,-11.419037
1782749446200,21,1,-9.198441,1.533264
1782749446200,21,2,14.153778,-7.794006
1782749446200,21,3,0.000000,0.000000
1782749446788,22,0,-1.782837,-12.234863
1782749446788,22,1,-9.323761,2.262405
1782749446788,22,2,13.900406,-7.941025
1782749446788,22,3,0.000000,0.000000
1782749447401,23,0,-1.831207,-11.664078
1782749447401,23,1,-9.412201,2.850739
1782749447401,23,2,15.593292,-7.848541
1782749447401,23,3,0.000000,0.000000
1782749447414,24,0,-2.046829,-11.948364
1782749447414,24,1,-10.255554,2.470367
1782749447414,24,2,15.610962,-8.482788
1782749447414,24,3,0.000000,0.000000
1782749448018,25,0,-1.168640,-12.278885
1782749448018,25,1,-8.994797,2.112976
1782749448018,25,2,15.332321,-8.586990
1782749448018,25,3,0.000000,0.000000
1782749448630,26,0,-2.004227,-12.165390
1782749448630,26,1,-9.167603,2.334320
1782749448630,26,2,15.103683,-7.973145
1782749448630,26,3,0.000000,0.000000
1782749448652,27,0,-1.249619,-12.469131
1782749448652,27,1,-8.743454,2.590439
1782749448652,27,2,14.942947,-8.021500
1782749448652,27,3,0.000000,0.000000
1782749449258,28,0,-2.151749,-11.823303
1782749449258,28,1,-8.250412,4.808395
1782749449258,28,2,15.143143,-5.560623
1782749449258,28,3,0.000000,0.000000
1782749449880,29,0,-1.976486,-12.428238
1782749449880,29,1,-8.664124,3.951401
1782749449880,29,2,14.704498,-6.554749
1782749449880,29,3,0.000000,0.000000
1782749449902,30,0,-2.785217,-12.261108
1782749449902,30,1,-8.901321,2.679062
1782749449902,30,2,13.037064,-6.698563
1782749449902,30,3,0.000000,0.000000
1782749450428,31,0,-2.999527,-12.923325
1782749450428,31,1,-8.832703,3.059418
1782749450428,31,2,13.447235,-6.496994
1782749450428,31,3,0.000000,0.000000
1782749451036,32,0,-3.158859,-12.542892
1782749451036,32,1,-9.769165,1.846298
1782749451036,32,2,13.626450,-7.696945
1782749451036,32,3,0.000000,0.000000
1782749451601,33,0,-2.813477,-12.113998
1782749451601,33,1,-10.359940,2.301346
1782749451601,33,2,14.474365,-7.938110
1782749451601,33,3,0.000000,0.000000
1782749451626,34,0,-2.957428,-12.304886
1782749451626,34,1,-10.713760,1.770630
1782749451626,34,2,15.001678,-8.604080
1782749451626,34,3,0.000000,0.000000
1782749452212,35,0,-5.275284,-11.424606
1782749452212,35,1,-11.037827,-0.198898
1782749452212,35,2,15.062469,-8.861145
1782749452212,35,3,0.000000,0.000000
1782749452831,36,0,-4.673218,-12.194595
1782749452831,36,1,-10.931915,0.436188
1782749452831,36,2,14.537643,-8.752625
1782749452831,36,3,0.000000,0.000000
1782749452846,37,0,-3.364151,-11.760849
1782749452846,37,1,-10.843933,1.098297
1782749452846,37,2,15.068130,-8.869827
1782749452846,37,3,0.000000,0.000000
1782749453447,38,0,-2.876068,-11.828934
1782749453447,38,1,-10.447128,2.290207
1782749453447,38,2,14.267517,-7.850586
1782749453447,38,3,0.000000,0.000000
1782749454061,39,0,-2.629776,-12.500137
1782749454061,39,1,-10.139114,0.621582
1782749454061,39,2,13.506241,-9.067886
1782749454061,39,3,0.000000,0.000000
1782749454078,40,0,-2.878082,-12.503708
1782749454078,40,1,-8.306625,1.558594
1782749454078,40,2,14.729492,-7.754135
1782749454078,40,3,0.000000,0.000000
1782749454679,41,0,-2.838089,-12.537567
1782749454679,41,1,-8.857117,-0.828537
1782749454679,41,2,14.099411,-9.480316
1782749454679,41,3,0.000000,0.000000
1782749455288,42,0,-4.137939,-11.302826
1782749455288,42,1,-9.653412,3.255295
1782749455288,42,2,15.395767,-6.298508
1782749455288,42,3,0.000000,0.000000
1782749455307,43,0,-2.995758,-11.595764
1782749455307,43,1,-9.957886,3.037735
1782749455307,43,2,14.899002,-7.168869
1782749455307,43,3,0.000000,0.000000
1782749455824,44,0,-2.005234,-12.142181
1782749455824,44,1,-10.217117,1.109161
1782749455824,44,2,15.691620,-9.528900
1782749455824,44,3,0.000000,0.000000
1782749456452,45,0,-6.483994,-10.271606
1782749456452,45,1,-9.018738,4.157410
1782749456452,45,2,15.658142,-4.255890
1782749456452,45,3,0.000000,0.000000
1782749456975,46,0,-6.265579,-10.163345
1782749456975,46,1,-8.187668,5.086060
1782749456975,46,2,15.819580,-3.436813
1782749456975,46,3,0.000000,0.000000
1782749457010,47,0,-4.376007,-11.238235
1782749457010,47,1,-9.403000,3.206329
1782749457010,47,2,15.200333,-6.427292
1782749457010,47,3,0.000000,0.000000
1782749457535,48,0,-4.614044,-12.296951
1782749457535,48,1,-10.207352,2.017532
1782749457535,48,2,15.087967,-7.773560
1782749457535,48,3,0.000000,0.000000
1782749458113,49,0,-4.298935,-10.854584
1782749458113,49,1,-7.467041,5.255707
1782749458113,49,2,17.051849,-4.510529
1782749458113,49,3,0.000000,0.000000
1782749458663,50,0,-5.105377,-10.714340
1782749458663,50,1,-6.553146,5.304321
1782749458663,50,2,17.155884,-3.567429
1782749458663,50,3,0.000000,0.000000
1782749458677,51,0,-5.004364,-11.447815
1782749458677,51,1,-7.586533,3.196732
1782749458677,51,2,15.495728,-5.338089
1782749458677,51,3,0.000000,0.000000
1782749459282,52,0,-2.950790,-11.616928
1782749459282,52,1,-10.135483,1.313614
1782749459282,52,2,15.259583,-8.690277
1782749459282,52,3,0.000000,0.000000
1782749459903,53,0,-3.320236,-12.505173
1782749459903,53,1,-9.647598,1.360229
1782749459903,53,2,13.553879,-8.038574
1782749459903,53,3,0.000000,0.000000
1782749459917,54,0,-5.057953,-11.867874
1782749459917,54,1,-9.744644,1.814026
1782749459917,54,2,14.022552,-6.702042
1782749459917,54,3,0.000000,0.000000
1782749460511,55,0,-4.091248,-13.349106
1782749460511,55,1,-9.329224,-0.282425
1782749460511,55,2,13.580795,-8.885284
1782749460511,55,3,0.000000,0.000000
1782749461117,56,0,-5.452026,-11.875854
1782749461117,56,1,-9.724258,-1.011459
1782749461117,56,2,15.210403,-8.712418
1782749461117,56,3,0.000000,0.000000
1782749461140,57,0,-4.140076,-10.254868
1782749461140,57,1,-9.624847,1.882904
1782749461140,57,2,15.642776,-6.903122
1782749461140,57,3,0.000000,0.000000
1782749461668,58,0,-4.109238,-10.050125
1782749461668,58,1,-7.980820,4.211609
1782749461668,58,2,15.156067,-4.589264
1782749461668,58,3,0.000000,0.000000
1782749462282,59,0,-5.943329,-10.451981
1782749462282,59,1,-8.865112,5.433670
1782749462282,59,2,16.040634,-3.576935
1782749462282,59,3,0.000000,0.000000
1782749462865,60,0,-5.832947,-10.487457
1782749462865,60,1,-9.652100,4.361511
1782749462865,60,2,15.511902,-4.603897
1782749462865,60,3,0.000000,0.000000
1782749462887,61,0,-5.521011,-10.698532
1782749462887,61,1,-8.208572,3.778305
1782749462887,61,2,15.718887,-4.572815
1782749462887,61,3,0.000000,0.000000
1782749463527,62,0,-7.157974,-8.977631
1782749463527,62,1,-7.420914,6.074509
1782749463527,62,2,16.247452,-1.454727
1782749463527,62,3,0.000000,0.000000
1782749464093,63,0,-7.142807,-8.760681
1782749464093,63,1,-7.482712,5.623459
1782749464093,63,2,17.598175,-1.642258
1782749464093,63,3,0.000000,0.000000
1782749464115,64,0,-8.715668,-9.025284
1782749464115,64,1,-8.276566,5.258575
1782749464115,64,2,15.874649,-1.513657
1782749464115,64,3,0.000000,0.000000
1782749464708,65,0,-5.053940,-12.233215
1782749464708,65,1,-10.165283,-1.016006
1782749464708,65,2,15.517883,-8.806915
1782749464708,65,3,0.000000,0.000000
1782749465323,66,0,-3.147949,-12.122314
1782749465323,66,1,-10.237335,-0.951813
1782749465323,66,2,15.704788,-9.618668
1782749465323,66,3,0.000000,0.000000
1782749465347,67,0,-3.443192,-11.448380
1782749465347,67,1,-11.222870,-0.377045
1782749465347,67,2,15.921112,-9.281082
1782749465347,67,3,0.000000,0.000000
1782749465937,68,0,-4.081085,-11.848221
1782749465937,68,1,-10.994141,0.707916
1782749465937,68,2,15.875214,-8.241165
1782749465937,68,3,0.000000,0.000000
1782749466551,69,0,-4.064041,-12.833130
1782749466551,69,1,-8.935852,2.335587
1782749466551,69,2,14.879257,-6.409958
1782749466551,69,3,0.000000,0.000000
1782749466575,70,0,-4.743362,-12.561218
1782749466575,70,1,-9.265427,1.267960
1782749466575,70,2,15.321075,-6.834137
1782749466575,70,3,0.000000,0.000000
1782749467166,71,0,-5.865509,-11.490921
1782749467166,71,1,-9.083939,1.922409
1782749467166,71,2,15.214981,-5.365051
1782749467166,71,3,0.000000,0.000000
1782749467780,72,0,-4.984741,-11.964279
1782749467780,72,1,-9.689117,0.940109
1782749467780,72,2,15.185486,-6.820053
1782749467780,72,3,0.000000,0.000000
1782749467799,73,0,-5.529205,-11.212479
1782749467799,73,1,-9.194351,3.959106
1782749467799,73,2,16.797272,-4.398697
1782749467799,73,3,0.000000,0.000000
1782749468326,74,0,-6.378418,-11.400909
1782749468326,74,1,-8.763855,3.229233
1782749468326,74,2,16.889633,-4.300446
1782749468326,74,3,0.000000,0.000000
1782749468944,75,0,-7.096558,-10.151306
1782749468944,75,1,-8.678741,6.023621
1782749468944,75,2,16.856339,-1.824936
1782749468944,75,3,0.000000,0.000000
1782749469521,76,0,-6.321136,-10.813309
1782749469521,76,1,-7.771667,6.850601
1782749469521,76,2,17.238846,-1.674881
1782749469521,76,3,0.000000,0.000000
1782749469542,77,0,-7.351898,-10.720306
1782749469542,77,1,-7.984299,7.087112
1782749469542,77,2,18.718643,-1.053299
1782749469542,77,3,0.000000,0.000000
1782749470192,78,0,-7.052658,-10.873489
1782749470192,78,1,-8.877792,3.706009
1782749470192,78,2,18.629349,-3.367966
1782749470192,78,3,0.000000,0.000000
1782749470209,79,0,-4.248337,-12.657898
1782749470209,79,1,-10.661011,0.262756
1782749470209,79,2,16.090363,-7.783173
1782749470209,79,3,0.000000,0.000000
1782749470755,80,0,-6.483002,-11.553055
1782749470755,80,1,-9.216873,2.884537
1782749470755,80,2,16.559250,-4.166916
1782749470755,80,3,0.000000,0.000000
1782749471369,81,0,-5.528244,-12.158249
1782749471369,81,1,-7.891891,1.485382
1782749471369,81,2,16.336075,-5.203369
1782749471369,81,3,0.000000,0.000000
1782749471980,82,0,-5.943588,-10.317032
1782749471980,82,1,-6.825851,3.706604
1782749471980,82,2,15.822403,-2.608658
1782749471980,82,3,0.000000,0.000000
1782749471997,83,0,-4.096542,-12.861420
1782749471997,83,1,-6.988571,0.433914
1782749471997,83,2,16.036285,-6.443695
1782749471997,83,3,0.000000,0.000000
1782749472594,84,0,-4.711670,-12.649155
1782749472594,84,1,-7.348480,-0.429672
1782749472594,84,2,15.501053,-6.569290
1782749472594,84,3,0.000000,0.000000
1782749473191,85,0,-4.077576,-13.032593
1782749473191,85,1,-7.117645,-1.051651
1782749473191,85,2,15.900894,-7.375076
1782749473191,85,3,0.000000,0.000000
1782749473206,86,0,-3.807098,-13.677765
1782749473206,86,1,-6.988602,-0.932404
1782749473206,86,2,14.866440,-7.501999
1782749473206,86,3,0.000000,0.000000
