unix_ms,node_id,broadcast_clone_dist_cycles,process_packet_cycles,calculate_state_cycles,broadcast_clone_dist_ns,process_packet_ns,calculate_state_ns
1782678210185,0,0,143313,2082624,0.000,895706.250,13016400.000
1782678210196,0,0,143313,2082624,0.000,895706.250,13016400.000
1782678210210,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210221,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210237,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210250,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210383,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210451,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210491,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210502,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210514,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210525,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210535,0,0,165295,2082624,0.000,1033093.750,13016400.000
1782678210545,0,0,158607,2082624,0.000,991293.750,13016400.000
1782678211086,0,0,158607,2082624,0.000,991293.750,13016400.000
1782678211214,0,0,158607,2082624,0.000,991293.750,13016400.000
1782678211224,0,0,158607,2082624,0.000,991293.750,13016400.000
1782678211234,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678211244,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678211254,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678211264,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678211274,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678211288,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678211299,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678211907,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678211921,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678212046,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678212057,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678212067,0,0,169381,2082624,0.000,1058631.250,13016400.000
1782678212077,0,0,172649,2082624,0.000,1079056.250,13016400.000
1782678212088,0,0,172649,2082624,0.000,1079056.250,13016400.000
1782678212099,0,0,157823,2082624,0.000,986393.750,13016400.000
1782678212110,0,0,157823,2082624,0.000,986393.750,13016400.000
1782678212121,0,0,157823,2082624,0.000,986393.750,13016400.000
1782678213134,0,0,157823,2082624,0.000,986393.750,13016400.000
1782678213149,0,0,157823,2082624,0.000,986393.750,13016400.000
1782678213160,0,0,157823,2082624,0.000,986393.750,13016400.000
1782678213171,0,0,157823,2082624,0.000,986393.750,13016400.000
1782678213306,0,0,157823,2082624,0.000,986393.750,13016400.000
1782678213317,0,0,157823,2082624,0.000,986393.750,13016400.000
1782678213334,0,0,157823,2082624,0.000,986393.750,13016400.000
1782678213347,0,0,167229,2082624,0.000,1045181.250,13016400.000
1782678213363,0,0,165469,2082624,0.000,1034181.250,13016400.000
1782678213387,0,0,165469,754606,0.000,1034181.250,4716287.500
1782678213403,0,0,165469,754606,0.000,1034181.250,4716287.500
1782678213430,0,0,165469,970060,0.000,1034181.250,6062875.000
1782678213445,0,0,165469,970060,0.000,1034181.250,6062875.000
1782678213467,0,0,180599,1141374,0.000,1128743.750,7133587.500
1782678213477,0,0,180599,1141374,0.000,1128743.750,7133587.500
1782678213501,0,0,180599,830220,0.000,1128743.750,5188875.000
1782678213518,0,0,180599,830220,0.000,1128743.750,5188875.000
1782678213547,0,0,180599,832424,0.000,1128743.750,5202650.000
1782678214563,0,0,180599,832424,0.000,1128743.750,5202650.000
1782678214589,0,0,180599,1802854,0.000,1128743.750,11267837.500
1782678214599,0,0,180599,1802854,0.000,1128743.750,11267837.500
1782678214619,0,0,180599,2258618,0.000,1128743.750,14116362.500
1782678214630,0,0,180599,2258618,0.000,1128743.750,14116362.500
1782678214665,0,0,176935,2089718,0.000,1105843.750,13060737.500
1782678214676,0,0,176935,2089718,0.000,1105843.750,13060737.500
1782678214706,0,0,176935,1536446,0.000,1105843.750,9602787.500
1782678214718,0,0,245221,1536446,0.000,1532631.250,9602787.500
1782678214743,0,0,245221,971074,0.000,1532631.250,6069212.500
1782678214755,0,0,245221,971074,0.000,1532631.250,6069212.500
1782678214783,0,0,245221,832468,0.000,1532631.250,5202925.000
1782678214793,0,0,245221,832468,0.000,1532631.250,5202925.000
1782678214820,0,0,245221,854046,0.000,1532631.250,5337787.500
1782678214833,0,0,245221,854046,0.000,1532631.250,5337787.500
1782678214974,0,0,245221,969820,0.000,1532631.250,6061375.000
1782678214987,0,0,245221,969820,0.000,1532631.250,6061375.000
1782678215011,0,0,245221,812456,0.000,1532631.250,5077850.000
1782678215020,0,0,245221,812456,0.000,1532631.250,5077850.000
1782678215042,0,0,169025,1186738,0.000,1056406.250,7417112.500
1782678215059,0,0,441611,1186738,0.000,2760068.750,7417112.500
1782678215092,0,0,140179,2162222,0.000,876118.750,13513887.500
1782678215104,0,0,140179,2162222,0.000,876118.750,13513887.500
1782678215126,0,0,198349,2065882,0.000,1239681.250,12911762.500
1782678215137,0,0,198349,2065882,0.000,1239681.250,12911762.500
1782678215161,0,0,198349,3296476,0.000,1239681.250,20602975.000
1782678215173,0,0,198349,3296476,0.000,1239681.250,20602975.000
1782678215206,0,0,198349,1688806,0.000,1239681.250,10555037.500
1782678215220,0,0,198349,1688806,0.000,1239681.250,10555037.500
1782678215232,0,0,198349,1688806,0.000,1239681.250,10555037.500
1782678215899,0,0,198349,1890476,0.000,1239681.250,11815475.000
1782678215930,0,0,198349,892142,0.000,1239681.250,5575887.500
1782678215943,0,0,198349,892142,0.000,1239681.250,5575887.500
1782678215969,0,0,163931,867768,0.000,1024568.750,5423550.000
1782678215981,0,0,163931,867768,0.000,1024568.750,5423550.000
1782678216005,0,0,163931,812616,0.000,1024568.750,5078850.000
1782678216016,0,0,163931,812616,0.000,1024568.750,5078850.000
1782678216046,0,0,172659,2406476,0.000,1079118.750,15040475.000
1782678216058,0,0,172659,2406476,0.000,1079118.750,15040475.000
1782678216083,0,0,172659,1765404,0.000,1079118.750,11033775.000
1782678216213,0,0,172659,1765404,0.000,1079118.750,11033775.000
1782678216238,0,0,172659,1819120,0.000,1079118.750,11369500.000
1782678216248,0,0,172659,1819120,0.000,1079118.750,11369500.000
1782678216270,0,0,172659,1987860,0.000,1079118.750,12424125.000
1782678216821,0,0,172659,1987860,0.000,1079118.750,12424125.000
1782678216857,0,0,172659,947658,0.000,1079118.750,5922862.500
1782678216867,0,0,172659,947658,0.000,1079118.750,5922862.500
1782678216894,0,0,172659,810662,0.000,1079118.750,5066637.500
1782678216904,0,0,172659,810662,0.000,1079118.750,5066637.500
1782678217044,0,0,180027,1138418,0.000,1125168.750,7115112.500
1782678217057,0,0,180027,1138418,0.000,1125168.750,7115112.500
1782678218306,0,0,188953,968160,0.000,1180956.250,6051000.000
1782678218316,0,0,188953,968160,0.000,1180956.250,6051000.000
1782678218347,0,0,188953,1165338,0.000,1180956.250,7283362.500
1782678218359,0,0,188953,1165338,0.000,1180956.250,7283362.500
1782678218386,0,0,188953,2899752,0.000,1180956.250,18123450.000
1782678218399,0,0,188953,2899752,0.000,1180956.250,18123450.000
1782678218426,0,0,188953,968198,0.000,1180956.250,6051237.500
1782678218444,0,0,188953,968198,0.000,1180956.250,6051237.500
1782678218473,0,0,188953,829168,0.000,1180956.250,5182300.000
1782678218485,0,0,188953,829168,0.000,1180956.250,5182300.000
1782678218512,0,0,168685,871372,0.000,1054281.250,5446075.000
1782678218529,0,0,165107,871372,0.000,1031918.750,5446075.000
1782678218551,0,0,165107,827418,0.000,1031918.750,5171362.500
1782678218565,0,0,165107,827418,0.000,1031918.750,5171362.500
1782678218707,0,0,165107,965158,0.000,1031918.750,6032237.500
1782678218718,0,0,165107,965158,0.000,1031918.750,6032237.500
1782678218743,0,0,174597,1599014,0.000,1091231.250,9993837.500
1782678218758,0,0,174597,1599014,0.000,1091231.250,9993837.500
1782678218783,0,0,174597,831056,0.000,1091231.250,5194100.000
1782678218793,0,0,174597,831056,0.000,1091231.250,5194100.000
1782678218823,0,0,174597,830250,0.000,1091231.250,5189062.500
1782678218836,0,0,174597,830250,0.000,1091231.250,5189062.500
1782678218863,0,0,174597,2057940,0.000,1091231.250,12862125.000
1782678218875,0,0,174597,2057940,0.000,1091231.250,12862125.000
1782678218898,0,0,174597,2408024,0.000,1091231.250,15050150.000
1782678218909,0,0,174597,2408024,0.000,1091231.250,15050150.000
1782678218923,0,0,180159,2408024,0.000,1125993.750,15050150.000
1782678218953,0,0,180159,3197290,0.000,1125993.750,19983062.500
1782678218977,0,0,180159,2085960,0.000,1125993.750,13037250.000
1782678218988,0,0,180159,2085960,0.000,1125993.750,13037250.000
1782678219126,0,0,180159,1707252,0.000,1125993.750,10670325.000
1782678219139,0,0,180159,1707252,0.000,1125993.750,10670325.000
1782678219160,0,0,180159,2146020,0.000,1125993.750,13412625.000
1782678219172,0,0,180159,2146020,0.000,1125993.750,13412625.000
1782678219196,0,0,180159,2355932,0.000,1125993.750,14724575.000
1782678219790,0,0,180159,2355932,0.000,1125993.750,14724575.000
1782678219812,0,0,180159,830570,0.000,1125993.750,5191062.500
1782678219824,0,0,180159,830570,0.000,1125993.750,5191062.500
1782678219971,0,0,180159,830622,0.000,1125993.750,5191387.500
1782678219983,0,0,180159,830622,0.000,1125993.750,5191387.500
1782678220004,0,0,170163,1083142,0.000,1063518.750,6769637.500
1782678220013,0,0,170163,1083142,0.000,1063518.750,6769637.500
1782678220034,0,0,170163,830654,0.000,1063518.750,5191587.500
1782678220048,0,0,170163,830654,0.000,1063518.750,5191587.500
1782678220077,0,0,170163,830528,0.000,1063518.750,5190800.000
1782678220088,0,0,170163,830528,0.000,1063518.750,5190800.000
1782678220140,0,0,170163,2666386,0.000,1063518.750,16664912.500
1782678220150,0,0,170163,2666386,0.000,1063518.750,16664912.500
1782678220172,0,0,170163,2227456,0.000,1063518.750,13921600.000
1782678220183,0,0,170163,2227456,0.000,1063518.750,13921600.000
1782678221853,0,0,170163,1464922,0.000,1063518.750,9155762.500
1782678221865,0,0,170163,1464922,0.000,1063518.750,9155762.500
1782678221892,0,0,170163,867858,0.000,1063518.750,5424112.500
1782678221908,0,0,170163,867858,0.000,1063518.750,5424112.500
1782678222057,0,0,170163,830350,0.000,1063518.750,5189687.500
1782678222070,0,0,165029,830350,0.000,1031431.250,5189687.500
1782678222095,0,0,165029,968182,0.000,1031431.250,6051137.500
1782678222104,0,0,165029,968182,0.000,1031431.250,6051137.500
1782678222127,0,0,165029,1617118,0.000,1031431.250,10106987.500
1782678222143,0,0,165029,1617118,0.000,1031431.250,10106987.500
1782678222171,0,0,165029,830230,0.000,1031431.250,5188937.500
1782678222183,0,0,165029,830230,0.000,1031431.250,5188937.500
1782678222205,0,0,165029,830668,0.000,1031431.250,5191675.000
1782678222215,0,0,165029,830668,0.000,1031431.250,5191675.000
1782678222238,0,0,165029,889600,0.000,1031431.250,5560000.000
1782678222250,0,0,165029,889600,0.000,1031431.250,5560000.000
1782678222275,0,0,165029,830596,0.000,1031431.250,5191225.000
1782678222289,0,0,165029,830596,0.000,1031431.250,5191225.000
1782678222315,0,0,165029,810832,0.000,1031431.250,5067700.000
1782678222447,0,0,165029,810832,0.000,1031431.250,5067700.000
1782678222472,0,0,180813,1234454,0.000,1130081.250,7715337.500
1782678222485,0,0,180813,1234454,0.000,1130081.250,7715337.500
1782678222507,0,0,180813,830280,0.000,1130081.250,5189250.000
1782678222523,0,0,180813,830280,0.000,1130081.250,5189250.000
1782678222554,0,0,180813,935352,0.000,1130081.250,5845950.000
1782678222570,0,0,180813,935352,0.000,1130081.250,5845950.000
1782678222593,0,0,180813,2685192,0.000,1130081.250,16782450.000
1782678222611,0,0,180813,2685192,0.000,1130081.250,16782450.000
1782678222633,0,0,180813,2294232,0.000,1130081.250,14338950.000
1782678222644,0,0,180813,2294232,0.000,1130081.250,14338950.000
1782678222671,0,0,180813,1990416,0.000,1130081.250,12440100.000
1782678222686,0,0,180813,1990416,0.000,1130081.250,12440100.000
1782678222709,0,0,134423,1717102,0.000,840143.750,10731887.500
1782678222722,0,0,177557,1717102,0.000,1109731.250,10731887.500
1782678222868,0,0,177557,2313916,0.000,1109731.250,14461975.000
1782678222882,0,0,177557,2313916,0.000,1109731.250,14461975.000
1782678222903,0,0,177557,1999820,0.000,1109731.250,12498875.000
1782678222913,0,0,177557,1999820,0.000,1109731.250,12498875.000
1782678222938,0,0,177557,2160412,0.000,1109731.250,13502575.000
1782678223477,0,0,177557,2160412,0.000,1109731.250,13502575.000
1782678223502,0,0,177557,968420,0.000,1109731.250,6052625.000
1782678223514,0,0,177557,968420,0.000,1109731.250,6052625.000
1782678223540,0,0,177557,912324,0.000,1109731.250,5702025.000
1782678223556,0,0,177557,912324,0.000,1109731.250,5702025.000
1782678223701,0,0,177557,889830,0.000,1109731.250,5561437.500
1782678223717,0,0,177557,889830,0.000,1109731.250,5561437.500
1782678223738,0,0,177557,830986,0.000,1109731.250,5193662.500
1782678223751,0,0,177557,830986,0.000,1109731.250,5193662.500
1782678223779,0,0,177557,3435360,0.000,1109731.250,21471000.000
1782678223790,0,0,182179,3435360,0.000,1138618.750,21471000.000
1782678223818,0,0,182179,2163502,0.000,1138618.750,13521887.500
1782678223831,0,0,182179,2163502,0.000,1138618.750,13521887.500
1782678223856,0,0,182179,2543804,0.000,1138618.750,15898775.000
1782678224399,0,0,182179,2543804,0.000,1138618.750,15898775.000
1782678224551,0,0,182179,830122,0.000,1138618.750,5188262.500
1782678224560,0,0,182179,830122,0.000,1138618.750,5188262.500
1782678224583,0,0,182179,1544384,0.000,1138618.750,9652400.000
1782678224597,0,0,182179,1544384,0.000,1138618.750,9652400.000
1782678224622,0,0,182179,830120,0.000,1138618.750,5188250.000
1782678224635,0,0,182179,830120,0.000,1138618.750,5188250.000
1782678224665,0,0,182179,830464,0.000,1138618.750,5190400.000
1782678224676,0,0,182179,830464,0.000,1138618.750,5190400.000
1782678224700,0,0,168121,2600872,0.000,1050756.250,16255450.000
1782678224719,0,0,168121,2600872,0.000,1050756.250,16255450.000
1782678224743,0,0,168121,1967452,0.000,1050756.250,12296575.000
1782678224755,0,0,168121,1967452,0.000,1050756.250,12296575.000
1782678225376,0,0,168121,1325380,0.000,1050756.250,8283625.000
1782678225389,0,0,168121,1325380,0.000,1050756.250,8283625.000
1782678225411,0,0,168121,889644,0.000,1050756.250,5560275.000
1782678225422,0,0,168121,889644,0.000,1050756.250,5560275.000
1782678225449,0,0,168121,829666,0.000,1050756.250,5185412.500
1782678225461,0,0,168121,829666,0.000,1050756.250,5185412.500
1782678225488,0,0,168121,829978,0.000,1050756.250,5187362.500
1782678225499,0,0,168121,829978,0.000,1050756.250,5187362.500
1782678225523,0,0,168121,1945972,0.000,1050756.250,12162325.000
1782678225536,0,0,168121,1945972,0.000,1050756.250,12162325.000
1782678225561,0,0,168121,2233592,0.000,1050756.250,13959950.000
1782678225572,0,0,276815,2233592,0.000,1730093.750,13959950.000
1782678226255,0,0,276815,830848,0.000,1730093.750,5192800.000
1782678226268,0,0,276815,830848,0.000,1730093.750,5192800.000
1782678226293,0,0,276815,890160,0.000,1730093.750,5563500.000
1782678226305,0,0,276815,890160,0.000,1730093.750,5563500.000
1782678226331,0,0,276815,831114,0.000,1730093.750,5194462.500
1782678226340,0,0,276815,831114,0.000,1730093.750,5194462.500
1782678226360,0,0,276815,951410,0.000,1730093.750,5946312.500
1782678226370,0,0,276815,951410,0.000,1730093.750,5946312.500
1782678226391,0,0,276815,2764240,0.000,1730093.750,17276500.000
1782678226408,0,0,276815,2764240,0.000,1730093.750,17276500.000
1782678226435,0,0,276815,2306072,0.000,1730093.750,14412950.000
1782678226448,0,0,276815,2306072,0.000,1730093.750,14412950.000
1782678226459,0,0,276815,2306072,0.000,1730093.750,14412950.000
1782678227061,0,0,276815,3599672,0.000,1730093.750,22497950.000
1782678227083,0,0,180029,1304912,0.000,1125181.250,8155700.000
1782678227093,0,0,180029,1304912,0.000,1125181.250,8155700.000
1782678227127,0,0,180029,830482,0.000,1125181.250,5190512.500
1782678227143,0,0,180029,830482,0.000,1125181.250,5190512.500
1782678227167,0,0,180029,830328,0.000,1125181.250,5189550.000
1782678227177,0,0,180029,830328,0.000,1125181.250,5189550.000
1782678227210,0,0,180029,1485788,0.000,1125181.250,9286175.000
1782678227221,0,0,180029,1485788,0.000,1125181.250,9286175.000
1782678227246,0,0,180029,2093378,0.000,1125181.250,13083612.500
1782678227264,0,0,180029,2093378,0.000,1125181.250,13083612.500
1782678227291,0,0,180029,2102260,0.000,1125181.250,13139125.000
1782678227880,0,0,180029,2102260,0.000,1125181.250,13139125.000
1782678227911,0,0,134427,872032,0.000,840168.750,5450200.000
1782678227921,0,0,198251,872032,0.000,1239068.750,5450200.000
1782678227941,0,0,175861,1248168,0.000,1099131.250,7801050.000
1782678227952,0,0,175861,1248168,0.000,1099131.250,7801050.000
1782678227985,0,0,175861,830914,0.000,1099131.250,5193212.500
1782678227996,0,0,175861,830914,0.000,1099131.250,5193212.500
1782678228023,0,0,175861,1579412,0.000,1099131.250,9871325.000
1782678228033,0,0,175861,1579412,0.000,1099131.250,9871325.000
1782678228056,0,0,175861,1605186,0.000,1099131.250,10032412.500
1782678228067,0,0,175861,1605186,0.000,1099131.250,10032412.500
1782678228715,0,0,175861,930266,0.000,1099131.250,5814162.500
1782678228725,0,0,175861,930266,0.000,1099131.250,5814162.500
1782678228755,0,0,175861,1628326,0.000,1099131.250,10177037.500
1782678228764,0,0,175861,1628326,0.000,1099131.250,10177037.500
1782678228797,0,0,175861,340603,0.000,1099131.250,2128768.750
1782678228807,0,0,175861,340603,0.000,1099131.250,2128768.750
1782678228828,0,0,175861,540179,0.000,1099131.250,3376118.750
1782678228839,0,0,164403,540179,0.000,1027518.750,3376118.750
1782678228862,0,0,164403,1441743,0.000,1027518.750,9010893.750
1782678228885,0,0,164403,1441743,0.000,1027518.750,9010893.750
1782678228911,0,0,164403,1050613,0.000,1027518.750,6566331.250
1782678228932,0,0,164403,1050613,0.000,1027518.750,6566331.250
1782678228976,0,0,164403,1678403,0.000,1027518.750,10490018.750
1782678229107,0,0,164403,1678403,0.000,1027518.750,10490018.750
1782678229726,0,0,164403,1681703,0.000,1027518.750,10510643.750
1782678229740,0,0,164403,1681703,0.000,1027518.750,10510643.750
1782678229762,0,0,164403,397921,0.000,1027518.750,2487006.250
1782678229773,0,0,164403,397921,0.000,1027518.750,2487006.250
1782678229795,0,0,164403,398051,0.000,1027518.750,2487818.750
1782678229806,0,0,164403,398051,0.000,1027518.750,2487818.750
1782678229962,0,0,165881,575405,0.000,1036756.250,3596281.250
1782678229981,0,0,165881,575405,0.000,1036756.250,3596281.250
1782678230008,0,0,165881,416683,0.000,1036756.250,2604268.750
1782678230020,0,0,165881,416683,0.000,1036756.250,2604268.750
1782678230051,0,0,165881,397603,0.000,1036756.250,2485018.750
1782678230062,0,0,165881,397603,0.000,1036756.250,2485018.750
1782678230084,0,0,165881,1467981,0.000,1036756.250,9174881.250
1782678230095,0,0,165881,1467981,0.000,1036756.250,9174881.250
1782678230119,0,0,165881,1757569,0.000,1036756.250,10984806.250
1782678230747,0,0,165881,1757569,0.000,1036756.250,10984806.250
1782678230777,0,0,165881,416667,0.000,1036756.250,2604168.750
1782678230788,0,0,165881,416667,0.000,1036756.250,2604168.750
1782678230809,0,0,165881,944375,0.000,1036756.250,5902343.750
1782678230819,0,0,165881,944375,0.000,1036756.250,5902343.750
1782678230839,0,0,165881,416667,0.000,1036756.250,2604168.750
1782678230852,0,0,164567,416667,0.000,1028543.750,2604168.750
1782678230884,0,0,164567,416667,0.000,1028543.750,2604168.750
1782678230895,0,0,164567,416667,0.000,1028543.750,2604168.750
1782678230917,0,0,164567,1266663,0.000,1028543.750,7916643.750
1782678230928,0,0,164567,1266663,0.000,1028543.750,7916643.750
1782678230949,0,0,164567,1129833,0.000,1028543.750,7061456.250
1782678231567,0,0,164567,1129833,0.000,1028543.750,7061456.250
1782678231613,0,0,164567,416667,0.000,1028543.750,2604168.750
1782678231624,0,0,164567,416667,0.000,1028543.750,2604168.750
1782678231649,0,0,164567,476227,0.000,1028543.750,2976418.750
1782678231659,0,0,164567,476227,0.000,1028543.750,2976418.750
1782678231680,0,0,164567,416667,0.000,1028543.750,2604168.750
1782678231694,0,0,164567,416667,0.000,1028543.750,2604168.750
1782678231717,0,0,164567,416667,0.000,1028543.750,2604168.750
1782678231728,0,0,164567,416667,0.000,1028543.750,2604168.750
1782678231752,0,0,180231,1657655,0.000,1126443.750,10360343.750
1782678231766,0,0,180231,1657655,0.000,1126443.750,10360343.750
1782678231790,0,0,180231,1628677,0.000,1126443.750,10179231.250
1782678232303,0,0,180231,1628677,0.000,1126443.750,10179231.250
1782678232447,0,0,180231,553441,0.000,1126443.750,3459006.250
1782678232465,0,0,180231,553441,0.000,1126443.750,3459006.250
1782678232499,0,0,180231,476227,0.000,1126443.750,2976418.750
1782678232514,0,0,180231,476227,0.000,1126443.750,2976418.750
1782678232537,0,0,180231,416667,0.000,1126443.750,2604168.750
1782678232557,0,0,180231,416667,0.000,1126443.750,2604168.750
1782678232579,0,0,180231,416667,0.000,1126443.750,2604168.750
1782678232595,0,0,180231,416667,0.000,1126443.750,2604168.750
1782678232621,0,0,180231,2008419,0.000,1126443.750,12552618.750
1782678232635,0,0,210895,2008419,0.000,1318093.750,12552618.750
1782678232658,0,0,184603,2236525,0.000,1153768.750,13978281.250
1782678232671,0,0,184603,2236525,0.000,1153768.750,13978281.250
1782678232696,0,0,184603,1836537,0.000,1153768.750,11478356.250
1782678233307,0,0,184603,1836537,0.000,1153768.750,11478356.250
1782678233333,0,0,184603,457611,0.000,1153768.750,2860068.750
1782678233344,0,0,184603,457611,0.000,1153768.750,2860068.750
1782678233365,0,0,184603,398051,0.000,1153768.750,2487818.750
1782678233379,0,0,184603,398051,0.000,1153768.750,2487818.750
1782678233406,0,0,184603,398051,0.000,1153768.750,2487818.750
1782678233423,0,0,184603,398051,0.000,1153768.750,2487818.750
1782678233445,0,0,184603,1161757,0.000,1153768.750,7260981.250
1782678233455,0,0,184603,1161757,0.000,1153768.750,7260981.250
1782678233479,0,0,184603,1695385,0.000,1153768.750,10596156.250
1782678233493,0,0,184603,1695385,0.000,1153768.750,10596156.250
1782678233524,0,0,184603,1552927,0.000,1153768.750,9705793.750
1782678234127,0,0,184603,1552927,0.000,1153768.750,9705793.750
1782678234148,0,0,181857,705157,0.000,1136606.250,4407231.250
1782678234158,0,0,181857,705157,0.000,1136606.250,4407231.250
1782678234180,0,0,181857,417069,0.000,1136606.250,2606681.250
1782678234193,0,0,181857,417069,0.000,1136606.250,2606681.250
1782678234219,0,0,181857,397353,0.000,1136606.250,2483456.250
1782678234232,0,0,181857,397353,0.000,1136606.250,2483456.250
1782678234261,0,0,181857,1052967,0.000,1136606.250,6581043.750
1782678234273,0,0,181857,1052967,0.000,1136606.250,6581043.750
1782678234294,0,0,181857,1752131,0.000,1136606.250,10950818.750
1782678234310,0,0,181857,1752131,0.000,1136606.250,10950818.750
1782678234957,0,0,181857,1009643,0.000,1136606.250,6310268.750
1782678234967,0,0,181857,1009643,0.000,1136606.250,6310268.750
1782678234988,0,0,191725,1270635,0.000,1198281.250,7941468.750
1782678234997,0,0,191725,1270635,0.000,1198281.250,7941468.750
1782678235028,0,0,191725,416849,0.000,1198281.250,2605306.250
1782678235042,0,0,191725,416849,0.000,1198281.250,2605306.250
1782678235064,0,0,191725,417641,0.000,1198281.250,2610256.250
1782678235074,0,0,191725,417641,0.000,1198281.250,2610256.250
1782678235098,0,0,191725,1647207,0.000,1198281.250,10295043.750
